Year,Num_Breweries,Num_Barrels
2007,1619,197300785.1
2008,1688,199706866.3
2009,1778,196969275
2010,1814,195211403.2
2011,2093,192746822.2
2012,2430,196147202.3
2013,2846,191997374.7
2014,3373,192015138
2015,4504,191113018
2016,5096,189839913.7
2017,5648,185581837.2
